combination,frequency,total_amount,surgeons,avg_amount_per_case,total_item_quantity
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קלינצ 5 מ''מ (1) + טאקר נספג-12 סיכות-ETHICON (1) + שרוול אקסל 10-11  CB11LT (1),6,13568.6866,"אילן וסרמן, אלברט סטפנסקי, יבגני קרסיק",2261.4477666666667,5
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + אנדו קליפ 5 EL5ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טאקר נספג-12 סיכות-ETHICON (1) + טרוקר CFF03 - 5X100 (1) + שרוול לטרוקר 5 - CFS02 (1),6,22481.6342,אברהם רשף,3746.9390333333336,8
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1),6,12244.3964,"ויאצ'סלב זילברמינץ, עזרא עוז יקיר",2040.7327333333333,5
DYNAMESH ENDOLAP 3D 10*15CM (1) + SOL. SEPTOL 500ML (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר אקסל OPTI-סכין-5X100 (1) + שרוול אקסל OPTI-5X100 (1),6,7788.6485999999995,בוריס קירשטיין,1298.1081,6
"3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + אטם סיליקון 5 מ""מ לטרוקר YP PL (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + מספריים מונופולר 5 מ""מ (1)",6,12804.9256,דני רוזין,2134.154266666667,6
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + CAPSURE טאקר 30 (1) + טרוקר אקסל OPTI-5X100 (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + שרוול אקסל OPTI-5X100 (1),6,13517.361400000002,"אוסמה אבו חטום, דביר פרויליך",2252.893566666667,6
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + GLUTACK DEVICE 50 DROPS (1) + אנדו קליפ 5 EL5ML (1) + שרוול אקסל 10-11  CB11LT (1),6,16425.9389,איגור ירוחימוב,2737.6564833333337,5
CAPSURE טאקר 30 (1) + DEXTILE LEFT ANT. MESH 15X10CM (1) + DEXTILE RIGHT ANT. MESH 15X10C (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1) + סקשן איריגיישיין 5 (1),6,16314.6933,"אליעד קרין, חנוך קשתן",2719.11555,7
DYNAMESH ENDOLAP 3D 10*15CM (1) + LIQUIBAND FIX8 טאקר דבק (1) + בלון אמצעי T10SB (1) + בלון דו צדדי PDBS2 (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1) + סקשן איריגיישיין 5 (1),5,11398.6785,"גילבר אוחנה, ידידיה מלכי",2279.7357,7
3DMAX LARGE 10.8X16-LEFT (1) + 3DMAX LARGE 10.8X16-RIGHT (1) + LIQUIBAND FIX8 טאקר דבק (1) + טרוקר אקסל ללא סכין 11 B11LT (1) + טרוקר ללא סכין 5 NB5STF (1) + מספריים לאפ (1),5,10213.48,עזרא עוז יקיר,2042.696,6
