antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})","frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT'})",0.06826666666666667,0.07093333333333333,0.06773333333333334,0.9921875,13.987605733082706,1.0,0.06289095111111112,118.92053333333334,0.9965384979424797,0.947761194029851,0.991591023249139,0.9735373590225564
"frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-LEFT'})","frozenset({'MICROVAL 14X10-RIGHT', 'בלון דו צדדי PDBS2'})",0.0704,0.0688,0.06773333333333334,0.9621212121212122,13.98431994362227,1.0,0.06288981333333334,24.583680000000022,0.9988073779934135,0.947761194029851,0.9593226075184839,0.97330866807611
"frozenset({'MICROVAL 14X10-RIGHT', 'בלון דו צדדי PDBS2'})","frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-LEFT'})",0.0688,0.0704,0.06773333333333334,0.9844961240310078,13.98431994362227,1.0,0.06288981333333334,59.95920000000032,0.9970912141136996,0.947761194029851,0.9833219922880894,0.97330866807611
"frozenset({'טאקר-10 סיכות MICROVAL', 'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})","frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT'})",0.06293333333333333,0.07093333333333333,0.0624,0.9915254237288136,13.978271951064102,1.0,0.057935928888888884,109.62986666666697,0.9908157358356561,0.8731343283582089,0.9908783981007608,0.9356123359245572
"frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT'})","frozenset({'טאקר-10 סיכות MICROVAL', 'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})",0.07093333333333333,0.06293333333333333,0.0624,0.8796992481203006,13.9782719510641,1.0,0.057935928888888884,7.78936666666666,0.9993474442383742,0.8731343283582089,0.8716198578403891,0.9356123359245572
"frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-LEFT'})","frozenset({'MICROVAL 14X10-RIGHT', 'בלון דו צדדי PDBS2', 'טאקר-10 סיכות MICROVAL'})",0.0704,0.06346666666666667,0.0624,0.8863636363636362,13.965813598166536,1.0,0.057931946666666664,8.241493333333324,0.998705444488577,0.8731343283582086,0.8786627666183473,0.9347784568372802
"frozenset({'MICROVAL 14X10-RIGHT', 'בלון דו צדדי PDBS2', 'טאקר-10 סיכות MICROVAL'})","frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-LEFT'})",0.06346666666666667,0.0704,0.0624,0.9831932773109242,13.965813598166536,1.0,0.057931946666666664,55.31119999999947,0.9913118392617254,0.8731343283582086,0.9819204790349874,0.9347784568372802
"frozenset({'בלון אמצעי T10SB', 'טאקר-10 סיכות MICROVAL', 'MICROVAL 14X10-LEFT'})","frozenset({'MICROVAL 14X10-RIGHT', 'בלון דו צדדי PDBS2'})",0.06506666666666666,0.0688,0.0624,0.959016393442623,13.939191765154405,1.0,0.05792341333333333,22.721280000000036,0.9928620533298228,0.8731343283582089,0.955988395019999,0.9329965688143347
"frozenset({'MICROVAL 14X10-RIGHT', 'בלון דו צדדי PDBS2'})","frozenset({'בלון אמצעי T10SB', 'טאקר-10 סיכות MICROVAL', 'MICROVAL 14X10-LEFT'})",0.0688,0.06506666666666666,0.0624,0.9069767441860465,13.939191765154403,1.0,0.05792341333333333,10.050533333333329,0.9968425999353835,0.8731343283582089,0.9005027925549555,0.9329965688143347
"frozenset({'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})","frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})",0.06826666666666667,0.0656,0.0624,0.9140624999999999,13.93387957317073,1.0,0.05792170666666666,10.873018181818168,0.9962426430657684,0.8731343283582086,0.9080292166095889,0.9326410060975608
"frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})","frozenset({'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})",0.0656,0.06826666666666667,0.0624,0.9512195121951218,13.933879573170728,1.0,0.05792170666666666,19.10053333333327,0.9933994848378409,0.8731343283582086,0.947645440964999,0.9326410060975608
"frozenset({'טרוקר CFF03 - 5X100', 'בלון דו צדדי PDBS2'})","frozenset({'בלון אמצעי T10SB', 'שרוול לטרוקר 5 - CFS02'})",0.06826666666666667,0.06346666666666667,0.06026666666666667,0.8828125,13.90986081932773,1.0,0.05593400888888889,7.991751111111111,0.996109639280486,0.8432835820895521,0.8748709780751709,0.9161961659663865
"frozenset({'בלון אמצעי T10SB', 'שרוול לטרוקר 5 - CFS02'})","frozenset({'טרוקר CFF03 - 5X100', 'בלון דו צדדי PDBS2'})",0.06346666666666667,0.06826666666666667,0.06026666666666667,0.9495798319327731,13.90986081932773,1.0,0.05593400888888889,18.47937777777776,0.9910042937488661,0.8432835820895521,0.945885623854579,0.9161961659663865
"frozenset({'בלון דו צדדי PDBS2', 'שרוול לטרוקר 5 - CFS02'})","frozenset({'בלון אמצעי T10SB', 'טרוקר CFF03 - 5X100'})",0.0656,0.06666666666666667,0.06026666666666667,0.9186991869918699,13.78048780487805,1.0,0.05589333333333334,11.48,0.9925445508546491,0.837037037037037,0.9128919860627178,0.911349593495935
"frozenset({'בלון אמצעי T10SB', 'טרוקר CFF03 - 5X100'})","frozenset({'בלון דו צדדי PDBS2', 'שרוול לטרוקר 5 - CFS02'})",0.06666666666666667,0.0656,0.06026666666666667,0.904,13.780487804878048,1.0,0.05589333333333334,9.733333333333336,0.9936788874841973,0.837037037037037,0.8972602739726028,0.911349593495935
