itemset,frequency,surgeon_group
3DMAX LARGE 10.8X16-LEFT + טרוקר אקסל ללא סכין 11 B11LT,162,Cheap
3DMAX LARGE 10.8X16-LEFT + טרוקר אקסל ללא סכין 11 B11LT,20,Expensive
טרוקר אקסל OPTI-סכין-5X100 + שרוול אקסל OPTI-5X100,94,Cheap
טרוקר אקסל OPTI-סכין-5X100 + שרוול אקסל OPTI-5X100,87,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + טרוקר אקסל ללא סכין 11 B11LT,161,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + טרוקר אקסל ללא סכין 11 B11LT,19,Expensive
אנדו קליפ 5 EL5ML + בלון דו צדדי PDBS2,27,Cheap
אנדו קליפ 5 EL5ML + בלון דו צדדי PDBS2,139,Expensive
בלון דו צדדי PDBS2 + שרוול אקסל OPTI-5X100,80,Cheap
בלון דו צדדי PDBS2 + שרוול אקסל OPTI-5X100,84,Expensive
MICROVAL 16X11-RIGHT,140,Cheap
MICROVAL 16X11-RIGHT,22,Expensive
טאקר-10 סיכות MICROVAL + טרוקר אקסל ללא סכין 11 B11LT + טרוקר ללא סכין 5 NB5STF,161,Cheap
טאקר-10 סיכות MICROVAL + טרוקר אקסל ללא סכין 11 B11LT + טרוקר ללא סכין 5 NB5STF,0,Expensive
בלון אמצעי T10SB + שרוול אקסל OPTI-5X100,80,Cheap
בלון אמצעי T10SB + שרוול אקסל OPTI-5X100,81,Expensive
MICROVAL 16X11-LEFT,137,Cheap
MICROVAL 16X11-LEFT,22,Expensive
בלון אמצעי T10SB + בלון דו צדדי PDBS2 + שרוול אקסל OPTI-5X100,78,Cheap
בלון אמצעי T10SB + בלון דו צדדי PDBS2 + שרוול אקסל OPTI-5X100,79,Expensive
MICROVAL 14X10-RIGHT,50,Cheap
MICROVAL 14X10-RIGHT,106,Expensive
MICROVAL 14X10-LEFT,51,Cheap
MICROVAL 14X10-LEFT,105,Expensive
MICROVAL 16X11-LEFT + MICROVAL 16X11-RIGHT,134,Cheap
MICROVAL 16X11-LEFT + MICROVAL 16X11-RIGHT,21,Expensive
טרוקר ללא סכין 5 NB5STF + מספריים לאפ,70,Cheap
טרוקר ללא סכין 5 NB5STF + מספריים לאפ,84,Expensive
טאקר נספג - 15 סיכות,54,Cheap
טאקר נספג - 15 סיכות,97,Expensive
3DMAX LARGE 10.8X16-LEFT + אנדו קליפ 5 EL5ML,72,Cheap
3DMAX LARGE 10.8X16-LEFT + אנדו קליפ 5 EL5ML,79,Expensive
MICROVAL 14X10-LEFT + MICROVAL 14X10-RIGHT,46,Cheap
MICROVAL 14X10-LEFT + MICROVAL 14X10-RIGHT,104,Expensive
בלון אמצעי T10SB + טאקר-10 סיכות MICROVAL,31,Cheap
בלון אמצעי T10SB + טאקר-10 סיכות MICROVAL,117,Expensive
בלון דו צדדי PDBS2 + טרוקר ללא סכין 5 NB5STF + סקשן איריגיישיין 5,7,Cheap
בלון דו צדדי PDBS2 + טרוקר ללא סכין 5 NB5STF + סקשן איריגיישיין 5,141,Expensive
אנדו קליפ 5 EL5ML + בלון אמצעי T10SB,12,Cheap
